semestre;sexo;alumno;asignatura;tipo;ep1;ep2;ea;pf;estado
1;1;1712810220;INAF103;1;12;12;0;12;A
1;2;1712810221;INAF103;1;15;15;0;15;A
1;2;1712810222;INAF103;1;12;12;0;12;A
1;2;1712810223;INAF103;1;14;14;0;14;A
1;2;1712810224;INAF103;1;14;14;0;14;A
1;2;1712810225;INAF103;1;15;15;0;15;A
1;2;1712810226;INAF103;1;14;14;0;14;A
1;2;1712810227;INAF103;1;0;0;0;0;A
1;1;1712810228;INAF103;1;0;0;0;0;A
1;1;1712810229;INAF103;1;0;0;0;0;A
1;2;1712810230;INAF103;1;12;12;0;12;A
1;1;1712810201;INAF201;1;12;12;0;12;A
1;2;1712810202;INAF201;1;12;12;0;12;A
1;2;1712810203;INAF201;1;13;13;0;13;A
1;2;1712810204;INAF201;1;12;12;0;12;A
1;2;1712810205;INAF201;1;12;12;0;12;A
1;1;1712810206;INAF201;1;12;12;0;12;A
1;1;1712810207;INAF201;1;11;11;0;11;A
1;1;1712810208;INAF201;1;12;12;0;12;A
1;1;1712810209;INAF201;1;13;13;0;13;A
1;1;1712810210;INAF201;1;12;12;0;12;A
1;2;1712810211;INAF201;1;12;12;0;12;A
1;1;1712810212;INAF201;1;11;11;0;11;A
